date,quarterlyBasicAverageShares,annualGrossProfit,quarterlyPretaxIncome,annualNetPPE,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEbitda,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyBasicEPS,trailingChangeInCashSupplementalAsReported,annualOperatingCashFlow,quarterlyBeginningCashPosition,quarterlyTaxProvision,annualOtherIncomeExpense,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualGrossPPE,quarterlyChangesInAccountReceivables,quarterlyCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,trailingSellingGeneralAndAdministration,trailingOtherNonCashItems,quarterlyDilutedEPS,annualOperatingExpense,annualAccumulatedDepreciation,quarterlyDeferredIncomeTax,annualCapitalExpenditure,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualDeferredIncomeTax,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,annualChangesInAccountReceivables,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyAccountsPayable,trailingInvestingCashFlow,trailingCapitalExpenditure,quarterlyCommonStockIssuance,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualStockBasedCompensation,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyEbitda,quarterlyStockBasedCompensation,trailingChangesInAccountReceivables,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,annualRepaymentOfDebt,annualPurchaseOfInvestment,trailingDeferredIncomeTax,annualInterestExpense,trailingGrossProfit,trailingChangeInWorkingCapital,annualTotalRevenue,quarterlyCurrentAssets,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingCommonStockIssuance,quarterlyCashDividendsPaid,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingTotalRevenue,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualAccountsPayable,annualOperatingIncome,annualOtherCurrentAssets,trailingTaxProvision,annualBasicEPS,trailingNetIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualNetOtherInvestingChanges,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyPurchaseOfInvestment,annualPretaxIncome,trailingEndCashPosition,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingOperatingIncome,quarterlyDilutedAverageShares,annualCashDividendsPaid,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCostOfRevenue,quarterlyFreeCashFlow,annualOtherNonCurrentAssets,trailingSaleOfInvestment,quarterlyNetIncome,annualSellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualSaleOfInvestment,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualLongTermDebt,annualStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,annualCurrentLiabilities,quarterlyInvestingCashFlow,annualCurrentAccruedExpenses,annualTaxProvision,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualDilutedAverageShares,annualTotalAssets,quarterlyCurrentAccruedExpenses,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,trailingChangeInAccountPayable,trailingNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyLongTermDebt,annualDilutedEPS,annualAccountsReceivable,trailingOperatingCashFlow,annualCapitalStock,annualInventory,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,annualResearchAndDevelopment,quarterlyDepreciationAndAmortization,trailingPurchaseOfBusiness,annualRepurchaseOfCapitalStock,quarterlyRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,annualOtherIntangibleAssets,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,quarterlyCapitalStock,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingInterestExpense,annualCurrentDebt,quarterlyChangeInInventory,annualCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,annualChangeInInventory,annualPurchaseOfBusiness,annualGoodwill,trailingChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDepreciationAndAmortization,annualOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyInventory,annualRetainedEarnings,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
1970-01-01 00:00:01.388448000,76200000,14015000.0,14470000,442835000.0,5286000,442835000.0,762000.0,,13928000.0,,0.0,0.039213,3123000.0,4845000.0,0,,0.0,-389500000.0,202301000.0,,448034000.0,-9426000,0,0.0,0.0,,,,-4083000.0,464000.0,6948000.0,892000.0,0.039213,5286000.0,-5199000.0,,-4083000.0,4845000,-4083000.0,,,,762000,8729000,,5741000.0,-9426000.0,-3342000,16829000.0,,-431485000.0,-428672000.0,0.0,75844000.0,213387000.0,0.0,762000.0,,25410000,0.0,-11545000.0,0.0,762000.0,0.0,-1355000.0,1923000.0,0.0,0.0,-43409000.0,5741000.0,261485000.0,-11144000.0,14987000.0,,762000.0,0.0,,440000000.0,6084000.0,340860000.0,,-196365000.0,450035000.0,17727000.0,279212000.0,-3342000.0,-2813000.0,0.0,,76200000.0,9779000.0,8729000.0,0.0,-43159000.0,,43302000.0,2988000,,,0.0,-250204000.0,170228000.0,0.0,2988000.0,19952000.0,14987000,2988000.0,185641000.0,76200000,0.0,762000.0,,2988000.0,972000.0,762000,0.0,0.0,2988000,87000.0,14470000,,10188000.0,,0.0,440000000.0,0.0,,0.0,0,762000,10035000.0,-4083000,256000.0,,5976000.0,972000,,76200000.0,453023000.0,,87000,,409000.0,43302000.0,5828000.0,14015000,,,9426000.0,232307000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.396224000,76200000,,14589000,,5711000,,,0.0,,0.0,,0.051,,,762000,,,,,440195000.0,,2795000,-28000,,,-28000.0,-10766000.0,0.0,-6878000.0,,,,0.051,,,,,6543000,,,450961000.0,,-363000,9221000,0.0,5368000.0,,-2877000,,0.0,,,,,,,,,25524000,,,,,,,,,,,,,,,28000.0,,,119763000.0,,,,,,,,,,,,0.0,,,,,,,,3853000,440195000.0,440223000.0,,,,,,,15853000,,,76200000,,,119763000.0,,,-335000,,,3853000,,14589000,,,,,,,28000.0,0.0,0,399000,,-6878000,,,,921000,0.0,,,412000.0,144000,0.0,,,-5828000.0,14932000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.404086400,76200000,,14883000,,6361000,,,7029000.0,,7029000.0,,0.01,,,399000,,,,,436479000.0,,-537000,-2494000,,,-1144000.0,-16830000.0,0.0,1603000.0,,,,0.01,,,,,7521000,,,453309000.0,,6630000,9496000,0.0,5387000.0,,-2780000,,1327000.0,,,,,,,,,26334000,,,,,,,,,,,,,,,14213000.0,,,14021000.0,,,,,,,,,,,,0.0,,,,,,,,3168000,436479000.0,450692000.0,,,,,,,17249000,,,76200000,,,14021000.0,,,9124000,,,3168000,,14883000,,,,,,,16000.0,0.0,0,7029000,,1603000,,,,1392000,7168000.0,,,1434000.0,297000,0.0,,,-2071000.0,15857000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.412035200,76618000,,11186000,,10114000,,,13504000.0,,13504000.0,-78000000.0,0.14,,,7029000,,,,,486196000.0,,-2797000,82445000,,,-1806000.0,-24801000.0,35076000.0,-57688000.0,,,,0.14,,,,,15569000,,,510997000.0,,6475000,11175000,0.0,0.0,,-4201000,,0.0,,,95511000.0,,,,,,19157000,883000.0,,,,,,,,,,,,,,24036000.0,,,1789000.0,,,,-11260000.0,,,,,,,883000.0,0.0,,,,,,,,10869000,521272000.0,545308000.0,,,,,,,22767000,,,77235000,,,1789000.0,,,-42119000,,,10869000,,11186000,,,,,,,567000.0,-33851000.0,11000,13504000,,-91539000,,,,1478000,9965000.0,,,1789000.0,2143000,0.0,,,-853000.0,21289000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.419984000,79705000,72390000.0,10973000,478285000.0,9787000,513300000.0,15110000.0,15110000.0,68477000.0,15110000.0,0.0,0.14,,51813000.0,13504000,,459000.0,,,478285000.0,511085000.0,1726000,-20573000,762000.0,,-647000.0,-32800000.0,35015000.0,-2000.0,,,,0.14,31973000.0,-32800000.0,,-62965000.0,22180000,-96815000.0,,511085000.0,,1606000,10525000,0.0,0.0,1187000.0,2222000,,6000.0,,,0.0,,,2102000.0,14348000.0,-3625000.0,18972000,1091000.0,,59350000.0,15110000.0,0.0,,,-80885000.0,-33850000.0,,10755000.0,,,77767000.0,24102000.0,-11152000.0,234546000.0,2051000.0,0.0,-8070000.0,,-19926000.0,,2051000.0,,,-7636000.0,,65000.0,0.0,78090000.0,6000.0,40417000.0,253000.0,,0.29,,10803000,513300000.0,537402000.0,0.0,,,1000.0,30121000.0,,21898000,30121000.0,,79715000,-168686000.0,15110000.0,2051000.0,22613000.0,5377000.0,22178000,35015000.0,,10803000,4372000.0,10973000,,24102000.0,,112000.0,0.0,0.0,253000.0,0.0,448000,15110000,2051000.0,-1000,2045000.0,,22613000.0,1586000,8239000.0,78102000.0,537402000.0,2045000.0,1788000,0.0,,,682000.0,20312000,0.0,0.29,8239000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.427760000,79708000,,5250000,,10453000,,,9821000.0,,9821000.0,,0.06,,,15110000,,,,,469299000.0,,1155000,-19927000,,,-19927000.0,-41700000.0,34950000.0,,,,,0.06,,,,,14553000,,,510999000.0,,-5289000,4764000,0.0,0.0,,-434000,,6000.0,,,,,,,,,14151000,939000.0,,,,,,,,,,,,,,17897000.0,,,701000.0,,,,-19927000.0,,,,,,,65000.0,0.0,,,,,,,,5082000,504249000.0,522146000.0,,,,,,,16545000,,,79711000,,,701000.0,,,14553000,,,5082000,,5250000,,,,,,,492000.0,85000.0,486000,9821000,,85000,,,,1328000,7084000.0,,,695000.0,1552000,0.0,,,-1589000.0,15217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.435622400,79710000,,8252000,,10256000,,,9988000.0,,9988000.0,,0.1,,,9821000,,,,,460358000.0,,-2818000,-15445000,,,-15445000.0,-50650000.0,35175000.0,,,,,0.1,,,,,15620000,,,511008000.0,,167000,7946000,0.0,0.0,,-2389000,,0.0,,,,,,,,,17201000,939000.0,,,,,,,,,,,,,,20857000.0,,,1105000.0,,,,-15144000.0,,,,,,,76000.0,0.0,,,,,,,,8045000,495533000.0,516390000.0,,,,,,,19619000,,,79710000,,,1105000.0,,,15620000,,,8045000,,8252000,,,,,,,467000.0,-8000.0,306000,9988000,,-8000,,,,1417000,9902000.0,,,1105000.0,1307000,0.0,,,643000.0,18202000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.443571200,79721000,,6713000,,10546000,,,4951000.0,,4951000.0,0.0,0.08,,,9988000,,,,,483918000.0,,-694000,11460000,,,-2000.0,-59386000.0,35866000.0,,,,,0.08,,,,,15800000,,,543304000.0,,-5037000,6545000,0.0,0.0,,-453000,,0.0,,,0.0,,,,,,15450000,1078000.0,,,,,,,,,,,,,,16500000.0,,,2104000.0,,,,-17538000.0,,,,,,,83000.0,29000000.0,,,,,,,,6355000,519784000.0,536284000.0,,,,,,,18777000,,,79730000,,,31104000.0,,,-16420000,,,6355000,,6713000,,,0.0,,,,453000.0,-77000.0,168000,4951000,,-32297000,,,,1686000,10596000.0,,,2104000.0,1809000,0.0,,,999000.0,17091000,29000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.451520000,79726000,69328000.0,5314000,483333000.0,10275000,518847000.0,539000.0,539000.0,60965000.0,539000.0,0.0,0.06,,63832000.0,4951000,,-2269000.0,,,483333000.0,554992000.0,1227000,-10584000,15110000.0,0.0,-138000.0,-71659000.0,35514000.0,-11687000.0,,,,0.06,41530000.0,-71659000.0,,-43907000.0,17859000,-43907000.0,,554992000.0,,-4412000,8543000,0.0,0.0,-1130000.0,-413000,,5000.0,,,0.0,,,3929000.0,-14571000.0,-441000.0,14163000,973000.0,,-34496000.0,539000.0,0.0,,,0.0,0.0,,0.0,,,74859000.0,10884000.0,19925000.0,0.0,87000.0,34500000.0,-1964000.0,,-15946000.0,,34587000.0,,,-3689000.0,,90000.0,34500000.0,79717000.0,5000.0,27798000.0,476000.0,,0.31,,4937000,518847000.0,529731000.0,0.0,,,0.0,25529000.0,,19918000,25529000.0,,79729000,-68555000.0,539000.0,34587000.0,24419000.0,5531000.0,6172000,35514000.0,,4937000,6094000.0,5314000,,10884000.0,0.0,314000.0,34500000.0,0.0,476000.0,0.0,-3229000,539000,87000.0,-11687000,82000.0,,24419000.0,1100000,9369000.0,79727000.0,529731000.0,82000.0,1426000,0.0,,,-2017000.0,18818000,34500000.0,0.31,9369000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.459382400,79726000,,-23335000,,9985000,,,4663000.0,,4663000.0,,-0.29,,,539000,,,,,451268000.0,,2915000,-9680000,,,-2000.0,-105820000.0,35424000.0,-2082000.0,,,,-0.29,,,,,15886000,,,557088000.0,,4124000,2907000,0.0,430000.0,,3995000,,0.0,,,,,,,,,11057000,973000.0,,,,,,,,,,,,,,11822000.0,,,910000.0,,,,-18178000.0,,,,,,,92000.0,43000000.0,,,,,,,,-23335000,486692000.0,498514000.0,,,,,,,14194000,,,79726000,,,43910000.0,,,13804000,,,-23335000,,-23335000,,,0.0,,,,205000.0,0.0,-25812000,4663000,,-2082000,,,,1302000,6454000.0,,,910000.0,1835000,0.0,,,823000.0,12892000,43000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
