date,annualSellingGeneralAndAdministration,annualOperatingExpense,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,trailingRepurchaseOfCapitalStock,annualCapitalExpenditure,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,trailingOperatingExpense,annualRepurchaseOfCapitalStock,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualCurrentAssets,annualNetIncomeContinuousOperations,annualChangesInAccountReceivables,annualCashAndCashEquivalents,trailingDeferredIncomeTax,trailingBeginningCashPosition,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,trailingInterestExpense,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyBasicAverageShares,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedEPS,annualCurrentAccruedExpenses,quarterlyEbitda,annualChangeInCashSupplementalAsReported,trailingResearchAndDevelopment,annualEbitda,quarterlyOtherNonCashItems,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualDilutedAverageShares,quarterlyCashDividendsPaid,annualNetOtherFinancingCharges,annualCommonStockIssuance,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,annualTotalNonCurrentAssets,annualResearchAndDevelopment,quarterlyCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,trailingNetIncomeCommonStockholders,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyCurrentLiabilities,trailingFreeCashFlow,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,annualTaxProvision,trailingTaxProvision,annualNetIncome,quarterlyOtherCurrentAssets,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,annualOtherNonCashItems,annualBeginningCashPosition,quarterlyDilutedAverageShares,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualCurrentDebt,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,trailingInvestingCashFlow,quarterlyOtherNonCurrentAssets,annualBasicEPS,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,annualPurchaseOfInvestment,annualLongTermDebt,annualStockholdersEquity,annualBasicAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingCashDividendsPaid,quarterlyOperatingCashFlow,trailingPretaxIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,annualChangeInInventory,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,quarterlyNetPPE,trailingNetIncome,quarterlyInventory,annualGoodwill,quarterlyTaxProvision,annualInventory,annualRetainedEarnings,annualCurrentLiabilities,quarterlyLongTermDebt,quarterlyCommonStockIssuance,annualDilutedEPS,quarterlyOtherCurrentLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,annualChangeInWorkingCapital,annualCapitalStock,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,quarterlyBasicEPS,annualOperatingIncome,quarterlyCapitalStock,trailingGrossProfit,annualAccountsPayable,trailingRepaymentOfDebt,trailingOtherIncomeExpense,annualNetPPE,trailingChangeInWorkingCapital,annualOperatingCashFlow,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingPurchaseOfInvestment,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingIncome,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,annualInvestmentsAndAdvances,annualPretaxIncome,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingEndCashPosition,trailingChangeInAccountPayable,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,annualStockBasedCompensation,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
1993-03-31,,,39100000,,,,,,-644000000.0,,497100000,,825000000.0,,-3272000000.0,1712000000.0,168000000.0,,,,,891000000.0,1483000000.0,92300000,,664000000.0,,103000000.0,1176500000.0,20600000,180000000.0,179600000,-54700000,0.015,,32900000,,55000000.0,,600000.0,,,,,,,,,,,,,252400000,390100000.0,18500000,,13100000,,,,,,843500000,2400000,183400000,1663000000.0,-411500000.0,439800000,8635000000.0,,,57300000,767000000.0,15000000.0,,-3800000.0,,891000000.0,,,,,,,180000000.0,1604000000.0,25200000.0,,,79000000.0,2700000,,-3348000000.0,350900000.0,,55000000.0,,,,,,-52600000,-9500000,-170000000.0,29000000,2603000000.0,2700000,,,,,,-6200000,765000000,1663000000.0,,,10400000,,,,231200000.0,,,,4039000000.0,,,,,-35200000,53200000,,,,,,0.015,,0.0,3891000000.0,,-976000000.0,-308000000.0,,66000000.0,,,,214800000,,12526000000.0,,,,,,,-571000000.0,2700000,1368300000,1115900000,136000000.0,,-155000000.0,-23600000,,1300000,,,3066000000.0,0.0,,4400000.0,-2700000.0,,,12300000,,1603000000.0,,,,,,,,,,,,,,,,,
1993-06-30,,,37600000,,,,,,,,509700000,,,,,,,,,,,,,104500000,,,,,1225500000.0,18900000,150000000.0,137500000,-66700000,0.02,,31400000,,,,-2900000.0,,,,,,,,,,,,,217600000,384700000.0,18700000,,12600000,,,,,,838100000,2200000,183500000,,-411500000.0,444500000,,,,65200000,,,,-4000000.0,,,,,,,,,150000000.0,,23400000.0,,,,3000000,,,343800000.0,,,,,,,,-61800000,1000000,,23700000,,3000000,,,,,,-5200000,814000000,,,,9600000,,,,237600000.0,,,,,,,,,-42000000,66900000,,,,,,0.02,,0.0,,,,,,,,,,179600000,,,,,,,,,,3000000,1375400000,1157800000,,,,-38100000,,1100000,,,,-8400000.0,,1000000.0,-1900000.0,,,12500000,,,,,,,,,,,,,,,,,,,
1993-09-30,,,47600000,,,,,,,,495000000,,,,,,,,,,,,,134300000,,,,,1188900000.0,26800000,165000000.0,148900000,-43700000,0.06,,39700000,,,,12200000.0,,,,,,,0.0,,,,,,239500000,394600000.0,20800000,,20900000,,,,,,848100000,2200000,172300000,,-411500000.0,412400000,,,,82600000,,,,-5700000.0,,,,,,,,,165000000.0,,21200000.0,,,,9900000,,,326200000.0,,,,,,,,-73100000,2200000,,52800000,,9900000,,,,,,-4400000,777400000,,,,11000000,,,,218900000.0,,,,,,,,,11300000,86700000,,,,,,0.06,,0.0,,,,,,,,,,137500000,,,,,,,,,,9900000,1343100000,1103600000,,,,-20300000,,1400000,,,,100000.0,,35800000.0,-700000.0,,,12900000,,,,,,,,,,,,,,,,,,,
1993-12-31,8800000.0,78400000.0,43400000,27600000.0,363900000.0,900000.0,,-374700000.0,,-184900000.0,492900000,52300000.0,,,,,,347600000.0,29200000.0,,253100000.0,,,137900000,,,,,1132300000.0,23000000,,253100000,-43400000,,,35500000,38400000.0,,139400000.0,-6600000.0,5100000.0,411000000.0,,29200000.0,4100000.0,166857143.0,-8400000.0,0.0,123100000.0,,-47400000.0,,347600000,399800000.0,20400000,167600000.0,21600000,1121500000.0,,,301400000.0,26400000.0,976200000,2000000,169000000,,-374700000.0,411000000,,,,81900000,,,492900000.0,-14300000.0,39000000.0,,29200000.0,26400000.0,,,3300000.0,214800000.0,,,0.0,-16800000.0,,,13600000,,,363900000.0,0.175,,,-5600000.0,242000000.0,976200000.0,166857143.0,2600000,115700000,,32000000,,13600000,-208500000.0,169000000.0,1469100000.0,,50200000.0,0,757600000,,52600000.0,,8000000,52600000.0,399800000.0,81900000.0,242000000.0,122900000.0,0.175,17600000.0,,15500000.0,,0.0,,104300000,94500000,9800000.0,,15500000.0,,,,89200000.0,0.0,,52300000.0,,,757600000.0,,137500000.0,469000000.0,27600000.0,148900000,-15800000.0,,,253100000.0,17600000.0,-27800000.0,109400000.0,253100000.0,,13600000,1469100000,1121500000,,1132300000.0,,34600000,0.0,1300000,253100000.0,253100000.0,,100000.0,,-31400000.0,-300000.0,,68200000.0,12500000,,,,,,,,,,,,,,,,,,,
1994-03-31,,,40000000,,,600000.0,,,,,616400000,,,,,,,,,,,,,125300000,,,,,1187900000.0,21700000,181538462.0,83900000,-300200000,0.065,,33400000,,,,14200000.0,,,,,,,,,,,,,162400000,411600000.0,18300000,,20700000,,,,,,992500000,1900000,169400000,,-374700000.0,534700000,,,,81700000,,,,-6500000.0,,,,,,,,,181538462.0,,17500000.0,,,,11800000,,,633300000.0,,,,,,,,-61200000,86200000,,44800000,,11800000,,,,,,-200000,813200000,,,,8900000,,,,347800000.0,4500000.0,,,,,,,,-169300000,85300000,,,,,,0.065,,0.0,,,,,,,,,,253100000,,,,,,,,,,11800000,1608900000,1446500000,,,,-16400000,,800000,,,,0.0,,100000.0,-232600000.0,,,11700000,,,,,,,,,,,,,,,,,,,
1994-06-30,,,46100000,,,900000.0,,,,,616700000,,,,,,,,,,,,,132800000,,,,,1222400000.0,23900000,173333333.0,43100000,-64500000,0.075,,37600000,,,,-6000000.0,,,,,,,,,,,,,120700000,415600000.0,22200000,,23100000,,,,,,996700000,2100000,171800000,,-374700000.0,544400000,,,,72300000,,,,-4600000.0,,,,,,,,,173333333.0,,0.0,,,,13000000,,,645000000.0,,,,,,,,-57300000,-4100000,,27900000,,13000000,,,,,,800000,847700000,,,,10100000,,,,372600000.0,100000.0,,,,,,,,-40700000,86700000,,,,,,0.075,,0.0,,,,,,,,,,83900000,,,,,,,,,,13000000,1613400000,1492700000,,,,-29400000,,1400000,,,,-9000000.0,,0.0,-2600000.0,,,13700000,,,,,,,,,,,,,,,,,,,
1994-09-30,,,50600000,,,800000.0,,,,,765500000,,,,,,,,,,,,,138300000,,,,,1239100000.0,27500000,184000000.0,175100000,-40100000,0.1,,41200000,,,,6000000.0,,,,,,,0.0,,,,,,262600000,434000000.0,23100000,,28700000,,,,,,1015300000,2200000,175900000,,-374700000.0,685800000,,,,79700000,,,,-7300000.0,,,,,,,,,184000000.0,,190500000.0,,,,18400000,,,653800000.0,,,,,,,,-29600000,129800000,,42100000,,18400000,,,,,,5900000,864400000,,,,10300000,,,,319400000.0,200000.0,,,,,,,,131900000,87700000,,,,,,0.1,,0.0,,,,,,,,,,43100000,,,,,,,,,,18400000,1780800000,1518200000,,,,12500000,,4600000,,,,0.0,,1300000.0,-4500000.0,,,13700000,,,,,,,,,,,,,,,,,,,
1994-12-31,10300000.0,91900000.0,48400000,27600000.0,680300000.0,6200000.0,,-418800000.0,,-154100000.0,768000000,70000000.0,,,,,,226800000.0,69100000.0,,131700000.0,,,145900000,,,,,1312300000.0,20300000,,131700000,-19500000,,,35900000,-121400000.0,,147700000.0,,12500000.0,680200000.0,,69100000.0,8500000.0,179480519.0,-8900000.0,100000.0,5200000.0,,-16600000.0,,226800000,450900000.0,28100000,184900000.0,31300000,1573800000.0,,,357300000.0,31400000.0,1032600000,4000000,183700000,,-418800000.0,680200000,,,,87800000,,,768000000.0,18500000.0,34800000.0,,69100000.0,31400000.0,,,,253100000.0,,,20700000.0,-17900000.0,,,25900000,,,680300000.0,0.385,,,-271700000.0,475800000.0,1032600000.0,179480519.0,-6000000,-46500000,,22700000,,25900000,-424300000.0,183700000.0,1800600000.0,4000000.0,54700000.0,16600000,893500000,,45300000.0,,5400000,45300000.0,450900000.0,87800000.0,475800000.0,400000.0,0.385,300000.0,,18400000.0,16000000.0,0.0,,-43300000,97500000,1400000.0,,18400000.0,,,,93000000.0,0.0,,70000000.0,,,893500000.0,,137500000.0,542200000.0,27600000.0,175100000,23300000.0,,,131700000.0,300000.0,100000.0,165400000.0,131700000.0,,25900000,1800600000,1573800000,,1312300000.0,,16700000,20700000.0,5700000,131700000.0,131700000.0,,100000.0,,0.0,-32000000.0,,103900000.0,15600000,,,,,,,,,,,,,,,,,,,
1995-03-31,,,51300000,,,-100000.0,,,,,765800000,,,,,,,,,,,,,149600000,,,,,1283800000.0,24900000,179166667.0,129200000,-17600000,0.12,,41000000,,,,-13500000.0,,,,,,,,,,,,,245200000,472400000.0,26400000,,30400000,,,,,,1054300000,2400000,184800000,,-418800000.0,681600000,,,,84200000,,,,0.0,,,,,,,,,179166667.0,,22100000.0,,,,21500000,,,709900000.0,,,,,,,,-15800000,-1600000,,16700000,,21500000,,,,,,10700000,865000000,,,,8900000,,,,474700000.0,100000.0,,,,,,,,-2500000,98300000,,,,,,0.12,,0.0,,,,,,,,,,131700000,,,,,,,,,,21500000,1820100000,1574900000,,,,900000,,5200000,,,,0.0,,,-1800000.0,,,16100000,,,,,,,,,,,,,,,,,,,
1995-06-30,,,58800000,,,-2900000.0,,,,,764900000,,,,,,,,,,,,,178300000,,,,,1289200000.0,29200000,181000000.0,36500000,-135900000,0.1,,48700000,,,,-2700000.0,,,,,,,,,,,,,162000000,481400000.0,29600000,,27600000,,,,,,1090600000,2600000,184700000,,-418800000.0,679500000,,,,85400000,,,,100000.0,,,,,,,,,181000000.0,,23100000.0,,,,18100000,,,823100000.0,,,,,,,,-26900000,13400000,,29800000,,18100000,,,,,,7000000,870400000,,,,9500000,,,,471700000.0,27400000.0,,,,,,,,-92700000,119500000,,,,,,0.1,,0.0,,,,,,,,,,129200000,,,,,,,,,,18100000,1855500000,1693500000,,,,2900000,,8500000,,,,-9100000.0,,,-109100000.0,,,19500000,,,,,,,,,,,,,,,,,,,
