date,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualGrossProfit,quarterlyDilutedAverageShares,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualBasicEPS,annualOtherIncomeExpense,trailingGrossProfit,annualRepaymentOfDebt,annualEbitda,annualNetPPE,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,quarterlyNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,trailingChangeInCashSupplementalAsReported,annualBeginningCashPosition,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualGrossPPE,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,annualAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,trailingSellingGeneralAndAdministration,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyBasicEPS,annualDilutedAverageShares,quarterlyBasicAverageShares,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,quarterlyGrossPPE,trailingNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingInterestExpense,trailingCashDividendsPaid,annualInventory,quarterlyTaxProvision,annualGoodwill,trailingNetIncome,quarterlyNetPPE,trailingBeginningCashPosition,annualChangeInCashSupplementalAsReported,annualDilutedEPS,annualChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,annualCapitalStock,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,annualInterestExpense,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualDeferredIncomeTax,annualNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,annualCommonStockIssuance,annualFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,trailingChangeInWorkingCapital,annualChangeInWorkingCapital,annualOperatingIncome,quarterlyFreeCashFlow,annualTotalRevenue,trailingChangeInAccountPayable,annualNetOtherInvestingChanges,trailingTotalRevenue,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyTotalAssets,annualTotalAssets,trailingTaxProvision,annualNetIncome,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualCostOfRevenue,annualOtherCurrentAssets,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualAccountsPayable,annualCashDividendsPaid,quarterlyPurchaseOfInvestment,annualPretaxIncome,quarterlyGrossProfit,annualInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualCashAndCashEquivalents,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingPretaxIncome,annualDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualAccountsReceivable,trailingOperatingCashFlow,annualCurrentAssets,quarterlyOtherIncomeExpense,annualOperatingCashFlow,quarterlyDilutedEPS,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCashDividendsPaid,annualBasicAverageShares,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,trailingOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,annualRetainedEarnings,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualStockBasedCompensation,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualCurrentDeferredRevenue,trailingEndCashPosition,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyOtherIntangibleAssets,trailingStockBasedCompensation,annualOtherIntangibleAssets,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,quarterlyRetainedEarnings,trailingBasicEPS
1970-01-01 00:00:00.930700800,,,,17500000.0,,144000,,,438000000.0,,,,239744000.0,-336000000.0,,-214000000.0,244637000,,,,,-478000000.0,0,,,42000000.0,,300000,-60000000.0,82000000.0,300000,-432000000.0,,,,,,,,,,144000.0,,-14000000.0,8000000.0,104000000.0,4893000,,,-190000000.0,0.17,,17500000.0,,,,,,,,,-21000000.0,-144000,,91000000.0,-202000000.0,,,,-219000000.0,,48000000.0,,,,300000.0,,,,,,,-144000,,,,,,,,-12000000.0,,,,,-20000000.0,,520000000.0,82000000.0,144000.0,0.0,,444000,300000,,,470000000.0,245081000,,1000000.0,,,2986000,,244781000,,,,334000000.0,,-10000000.0,,,,,,,,,,,,,444000,,,,,,2986000,2986000,-189000000.0,,,,,,,,,,530000000.0,,3130000.0,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.938649600,,,,17500000.0,,239000,,,,,,,245131000.0,,300000.0,,250134000,,,,,,0,,,,,544000,,,544000,,,,,,,,,,135000.0,279000.0,,,,,5003000,,,,0.48,,17500000.0,,,3246000.0,,,-3002000.0,,,,-239000,,,,,,,,,,,,,300000.0,,,0.0,244000.0,,0.0,-239000,,,,,,,,,,,3246000.0,,,,,,239000.0,,,579000,544000,,,,250713000,,,,,8499000,,250169000,,,,,,,,,,,,,,,,,0.0,,579000,,,,,,8499000,8499000,,,0.0,544000.0,,,,,,,,,8738000.0,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.946598400,,,,,250450000.0,316000,1.13,20923000.0,,,-699000.0,,208573000.0,,544000.0,,250838000,0.0,795000.0,-11037000.0,,,0,,,,0.0,795000,,,795000,,,,,,,,,,128000.0,407000.0,,,,,42265000,699000.0,,,,17500000.0,,20224000.0,,8586000.0,,,-8335000.0,0.0,,,-316000,,,,,,,,,,795000.0,1.13,,0.0,,208573000.0,274560000.0,251000.0,,-274560000.0,-316000,,0.0,,282061000.0,11832000.0,,42265000.0,,407000.0,-699000.0,8586000.0,,,,,,316000.0,,,407000,795000,,407000.0,,251245000,251245000.0,,20224000.0,795000.0,8739000,,250450000,,,0.0,,,,407000.0,-11037000.0,,,,,,,699000.0,,-300000.0,,407000,-282061000.0,,,250838000.0,795000.0,8739000,8739000,,,0.0,795000.0,,,,,,,,795000.0,9055000.0,11832000.0,,,,,407000.0,-8035000.0,17500000.0,,20224000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.954460800,,,,17500000.0,,279000,,,,,,,208827000.0,,795000.0,,251146000,,,,,,0,,,,,1654000,,,1654000,,,,,,,,,,-87000.0,320000.0,,,,,42319000,,,,0.47,,17500000.0,,,8895000.0,,,-8036000.0,,,,-279000,,,,,,,,,,,,,0.0,,,,859000.0,,,-279000,,,,,,,,,,,8895000.0,,,,,,279000.0,,,320000,1654000,,,,251466000,,,,,8344000,,249812000,,,,,,,,,,,,,,,,,0.0,,320000,,,,,,8344000,8344000,,,0.0,1654000.0,,,,,,,,,8623000.0,,0.47,,,,,-8036000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.962323200,,,,17500000.0,,291000,,,,,,,209236000.0,,1654000.0,,251644000,,,,,,0,,,,,3313000,,,3313000,,,,,,,,,,-5000.0,315000.0,,,,,42408000,,,,0.48,,17500000.0,,,9739000.0,,,-8035000.0,,,,-291000,,,,,,,,,,,,,0.0,,,,1659000.0,,,-291000,,,,,,,,,,,9739000.0,,,,,,291000.0,,,315000,3313000,,,,251959000,,,,,8533000,,248646000,,,,,,,,,,,,,,,,,0.0,,315000,,,,,,8533000,8533000,,,-45000.0,3313000.0,,,,,,,,,8824000.0,,0.48,,,,,-8035000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.970272000,,,,17500000.0,,448000,,,,,,,203858000.0,,3313000.0,,245038000,,,,-28390000.0,,0,,,,,2921000,,,2921000,,,,86000.0,,,,,,414000.0,729000.0,,,,,41180000,,,,0.56,,17500000.0,,,11534000.0,,,16464000.0,,,,-448000,,,,,,,,,,,,,8550000.0,,,,-392000.0,,,-448000,,,,,,24500000.0,,,,,11534000.0,,,,,,448000.0,,,9279000,2921000,,,,278817000,,,,,9980000,,275896000,,,,,0.0,,,,,,,,,,,,24500000.0,,33779000,,,,,,9980000,9980000,,,-28390000.0,2921000.0,,24500000.0,,,,,,,10514000.0,,0.56,,,,,-8036000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.978220800,,,,,275979000.0,319000,2.08,39062000.0,,,-1337000.0,,212253000.0,,2921000.0,,255405000,141000.0,1566000.0,-11157000.0,-3000.0,,0,,,,795000.0,1566000,,,1566000,,0.0,,415000.0,,,,,,-89000.0,499000.0,,,,,43152000,1337000.0,,,,17500000.0,,37224000.0,,10198000.0,,,-11550000.0,-28438000.0,,,-319000,,,,,,,,,,771000.0,2.08,,141000.0,,212253000.0,,-1355000.0,501000.0,,-319000,,0.0,,,40366000.0,21500000.0,43152000.0,,233000.0,-1337000.0,10198000.0,,,-28438000.0,,,319000.0,,,640000,1566000,,22140000.0,,277545000,277545000.0,,37224000.0,1566000.0,10367000,,275979000,21500000.0,,0.0,,0.0,,499000.0,-32657000.0,,,,,,,1337000.0,,0.0,,22140000,,,,255405000.0,1566000.0,10367000,10367000,,,-3000.0,1566000.0,,21500000.0,,,,,,1566000.0,11101000.0,40366000.0,,,21500000.0,,640000.0,-8550000.0,17500000.0,,37224000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.985996800,,,,17500000.0,,357000,,,,,,,214222000.0,,1566000.0,,261654000,,,,-45000.0,,0,,,,,1387000,,,1387000,,,,358000.0,,,,,,-288000.0,231000.0,,,,,47432000,,,,0.61,,17500000.0,,,8416000.0,,,-8550000.0,,,,-357000,,,,,,,,,,,,,0.0,,,,-179000.0,,,-357000,,,,,,21500000.0,,,,,8416000.0,,,,,,357000.0,,,352000,1387000,,,,283506000,,,,,10963000,,282119000,,,,,0.0,,,,,,,,,,,,0.0,,21852000,,,,,,10963000,10963000,,,-45000.0,1387000.0,,21500000.0,,,,,,,11678000.0,,0.61,,,,,-8550000.0,,,,121000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.993859200,,,,17500000.0,,299000,,,,,,,215179000.0,,1387000.0,,264447000,,,,0.0,,0,,,,,4657000,,,4657000,,,,265000.0,,,,,,18000.0,276000.0,,,,,49268000,,,,0.54,,17500000.0,,,11820000.0,,,-8550000.0,,,,-299000,,,,,,,,,,,,,0.0,,,,3270000.0,,,-299000,,,,,,21500000.0,,,,,11820000.0,,,,,,299000.0,,,370000,4657000,,,,286317000,,,,,9793000,,281660000,,,,,0.0,,,,,,,,,,,,0.0,,21870000,,,,,,9793000,9793000,,,0.0,4657000.0,,21500000.0,,,,,,,10357000.0,,0.54,,,,,-8550000.0,,,,94000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.001808000,,,,17500000.0,,326000,,,,,,,216724000.0,,4657000.0,,262739000,,,,-16000.0,,0,,,,,6571000,,,6571000,,,,205000.0,,,,,,223000.0,521000.0,,,,,46015000,,,,0.6,,17500000.0,,,10996000.0,,,-9066000.0,,,,-326000,,,,,,,,,,,,,72000.0,,,,1914000.0,,,-326000,,,,,,21500000.0,,,,,10996000.0,,,,,,326000.0,,,593000,6571000,,,,284832000,,,,,10972000,,278261000,,,,,0.0,,,,,,,,,,,,0.0,,22093000,,,,,,10972000,10972000,,,-16000.0,6571000.0,,21500000.0,,,,,,,11503000.0,,0.6,,,,,-9066000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
