date,trailingDepreciationAndAmortization,annualOtherNonCashItems,annualPurchaseOfBusiness,annualDepreciationAndAmortization,trailingOtherNonCashItems,annualStockholdersEquity,quarterlyInventory,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualInvestingCashFlow,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,annualCapitalStock,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyNetPPE,annualStockBasedCompensation,annualGoodwill,annualSaleOfInvestment,annualBasicEPS,quarterlyAccountsReceivable,trailingChangeInInventory,annualNetPPE,annualCurrentLiabilities,annualInventory,annualGrossProfit,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualEbitda,trailingChangeInWorkingCapital,trailingRepaymentOfDebt,quarterlyTotalNonCurrentAssets,trailingPretaxIncome,trailingInterestExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,annualOperatingIncome,trailingPurchaseOfInvestment,annualEndCashPosition,annualPretaxIncome,annualDilutedEPS,trailingOperatingIncome,trailingTotalRevenue,quarterlyTotalAssets,trailingEndCashPosition,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCurrentDebt,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,annualTaxProvision,trailingNetOtherFinancingCharges,annualCapitalExpenditure,annualCashAndCashEquivalents,annualCurrentAssets,annualTotalRevenue,trailingBeginningCashPosition,trailingOperatingExpense,annualInterestExpense,trailingCostOfRevenue,annualOtherShortTermInvestments,annualAccumulatedDepreciation,annualCommonStockIssuance,quarterlyRetainedEarnings,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingNetIncome,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualRetainedEarnings,annualBeginningCashPosition,annualBasicAverageShares,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualLongTermDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualCashDividendsPaid,trailingTaxProvision,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherIntangibleAssets,annualRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,annualOtherIntangibleAssets,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2014-12-31,66340000.0,594472000.0,,15150000.0,1745790000.0,2427499000.0,3119000,202000.0,0,-50589000.0,-741000.0,0.0,-6909290000.0,4167986000.0,,-4110715000.0,0.0,6784567000,325695000.0,-407210000.0,90056000,4742000.0,,,0.35968,4167986000,-6857000.0,90056000.0,5412449000.0,3119000.0,933088000.0,20955000.0,-2076004000.0,636085000.0,-10419703000.0,-19140179000.0,11625405000,2051395000.0,1386000.0,453569000.0,2909440000.0,325695000.0,1269566080.0,0.0,136447000.0,453569000,453569000,-82049000.0,620935000.0,-2981525000.0,453569000.0,611082000.0,0.35968,2247888000.0,5397441000.0,16385316000,1585839000.0,0,-358848000.0,140645000.0,956422000.0,-2751901000.0,3829351000,456638000.0,1489936000.0,956422000,312153000.0,706964000.0,13957817000,140645000,154444000.0,1008457000.0,-741000.0,453569000.0,4759911000.0,1552682000.0,1944687000.0,661552000.0,,2488001000.0,,-50589000.0,804614000.0,722501000.0,0.0,-608963000.0,456638000.0,8545368000.0,,2427499000,-4470646000.0,8545368000,1478332000.0,16385316000.0,13957817000.0,4759911000,5412449000,-6991339000.0,,1428626000.0,722501000.0,318998000.0,1269566080.0,619594000.0,100504000.0,3829351000.0,6784567000.0,456638000.0,100504000.0,-77939000.0,561459000.0,-4111456000.0,11625405000.0,20955000.0,316909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,2660000,,0,,,,,,,,,8737011000,247259000.0,,88918000,,,,,5015450000,,,,,,,,,,,12602506000,,,,,,,,,607206000,607206000,,,,,,,,,18385528000,,0,,,,,3992202000,,,205819000,,,15678123000,88918000,,,,,,,,,,,,,,992415000.0,,,,,,2707405000,,10917850000,,,,5783022000,4760273000,,,,,,,,,,,,107496000.0,,,,,20955000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,856288000.0,,15283000.0,,5881200000.0,2643000,476000.0,0,-65872000.0,-71970000.0,-43961000.0,,5919463000.0,,-5320875000.0,0.0,7619142000,356739000.0,,89586000,19211000.0,,,0.44,5919463000,,89586000.0,8151303000.0,2643000.0,1308547000.0,64916000.0,-9102592000.0,863808000.0,,,15694759000,,,1865670000.0,,356739000.0,1484397155.0,0.0,1275225000.0,1865670000,1865670000,,848525000.0,,1865670000.0,900274000.0,0.44,,,23657881000,,0,,155458000.0,94773000.0,,7331534000,658526000.0,,94773000,460022000.0,,17776681000,155458000,241748000.0,,-28903000.0,1865670000.0,7963122000.0,2193398000.0,,,,,28000.0,-65872000.0,2775518000.0,1313344000.0,0.0,-582206000.0,658526000.0,9625378000.0,28000.0,5881200000,-6088252000.0,9625378000,,23657881000.0,17776681000.0,7963122000,8151303000,,,,1313344000.0,453569000.0,1484397155.0,884851000.0,139650000.0,7331534000.0,7619142000.0,658526000.0,139650000.0,-8264000.0,,-5349778000.0,15694759000.0,64916000.0,460422000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,4936000,,2782000,,,,,,6411000.0,,,9348387000,496812000.0,,101205000,,,,,6108934000,,,,,,,,,,,17122157000,,,,,,,,,1812797000,1812797000,,,,,,,,,25347178000,,0,,,,,6911666000,,,263855000,,,19255552000,101205000,,,,,,,,,,,,,,1514406000.0,,,,,224000.0,6091626000,,11229739000,,,,8225021000,8025813000,,,,,,,,,,,,256096000.0,,,,,64916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,932650000.0,,22309000.0,,6574391000.0,2054000,589000.0,3396000,-88143000.0,-459685000.0,-440500000.0,,7005683000.0,,-2381645000.0,0.0,13200556000,626182000.0,,98563000,9364000.0,,,0.51,7005683000,,98563000.0,7174720000.0,2054000.0,1734946000.0,64916000.0,-11276673000.0,1214951000.0,,,19988603000,,,1272458000.0,,626182000.0,1716304580.0,-440500000.0,-666119000.0,1272458000,1272458000,,1192642000.0,,1272458000.0,1205945000.0,0.51,,,28964583000,,0,,186706000.0,194333000.0,,6083374000,872310000.0,,194333000,542304000.0,,22390192000,186706000,333635000.0,,-20202000.0,1272458000.0,8975980000.0,2700916000.0,,,,,7828000.0,-88143000.0,0.0,1905798000.0,3396000.0,933799000.0,872310000.0,15215472000.0,7828000.0,6574391000,-4304076000.0,15215472000,,28964583000.0,22390192000.0,8975980000,7174720000,,,,1905798000.0,1865670000.0,1716304580.0,965970000.0,660406000.0,6083374000.0,13200556000.0,872310000.0,660406000.0,-188483000.0,,-2401847000.0,19988603000.0,64916000.0,554483000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,14940000,,3856000,,,,,,,,,14308478000,648950000.0,,94957000,,,,,7828755000,,,,,,,,,,,22008279000,,,,,,,,,609522000,609522000,,,,,,,,,31860269000,,0,,,,,6702697000,,,238127000,,,24961198000,94957000,,,,,,,,,,,,,,2230303000.0,,,,,6218000.0,6898896000,,17257359000,,,,9851990000,7703839000,,8874000.0,,,,,,,,,,1350693000.0,,,,,43961000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,1112163000.0,-9398000.0,27917000.0,,7468601000.0,21045000,-10527000.0,4678000,-113970000.0,-90168000.0,-88770000.0,,9184775000.0,,-5072151000.0,0.0,14523661000,,,86883000,0.0,9211000.0,26892000.0,0.67,9184775000,,86883000.0,12160762000.0,21045000.0,2174189000.0,43961000.0,-8554315000.0,1604500000.0,,,25805034000,,,1749884000.0,,,1716304580.0,,561686000.0,1749884000,1749884000,,1560092000.0,,1749884000.0,1576461000.0,0.67,,,37732513000,,0,,200853000.0,264697000.0,,10863858000,1148679000.0,,264697000,614097000.0,,30263687000,200853000,427782000.0,,-18892000.0,1749884000.0,11927479000.0,3418829000.0,,,122000.0,,,-113970000.0,,2678883000.0,4678000.0,1316800000.0,1148658000.0,18102925000.0,,7468601000,-7373703000.0,18102925000,,37732513000.0,30263687000.0,11927479000,12160762000,,9211000.0,,2678883000.0,1272458000.0,1716304580.0,1244640000.0,1310000.0,10863858000.0,14523661000.0,1148658000.0,1310000.0,-254448000.0,,-5091043000.0,25805034000.0,43961000.0,637490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,25159000,,5478000,,,,,,,,,14308990000,,,74189000,,,,,10750573000,,,,,,,,,,,29833529000,,,,,,,,,1944687000,1944687000,,,,,,,,,42948674000,,0,,,,,14681556000,,,1075742000,,,35115804000,74189000,,,,,,,,,,,,,,,,,,,,7834924000,,17790604000,,,,13115145000,17325200000,,9211000.0,,,,,,,,,,,,,,,43961000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,1530115000.0,,31218000.0,,10048092000.0,40537000,-6402000.0,9953000,-77160000.0,358255000.0,-152268000.0,,11826005000.0,,-5728645000.0,0.0,19627810000,,,403160000,,9211000.0,442198000.0,0.79,11826005000,,403160000.0,13826322000.0,40537000.0,2591424000.0,,-16257679000.0,1890676000.0,,,32596346000,,,2281145000.0,,,1716304580.0,,401956000.0,2173473000,2281145000,,1995271000.0,,2173473000.0,1859039000.0,0.79,,,47256927000,,0,,480320000.0,482381000.0,,12025566000,1350664000.0,,482381000,596153000.0,,37000119000,480320000,508375000.0,,-17640000.0,2173473000.0,14660581000.0,4296866000.0,,,419000.0,,107672000.0,-77160000.0,,,9953000.0,592210000.0,1352173000.0,23173797000.0,107672000.0,10048092000,-8812566000.0,23173797000,,47256927000.0,37000119000.0,14660581000,13826322000,,9211000.0,,,1749884000.0,1716304580.0,1705442000.0,958000.0,12025566000.0,19627810000.0,1352173000.0,958000.0,-336793000.0,,-5746285000.0,32596346000.0,,631601000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,,,,93722000,,29137000,,,,,,,,,23305916000,,,1724301000,,,,,16120838000,,,,,,,,,,,36645541000,,,,,,,,,1633874000,1633874000,,,,,,,,,57577800000,,0,,,,,15409041000,,,662829000,,,45639102000,1724301000,,,,,,,,,,,,,,,,,,,,10503822000,,27321492000,,,,20932259000,18317610000,,69772000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
