date,trailingFreeCashFlow,annualOperatingIncome,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentAssets,annualChangeInAccountPayable,annualCommonStockIssuance,annualFreeCashFlow,trailingOperatingIncome,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualChangeInWorkingCapital,annualEndCashPosition,quarterlyOtherNonCashItems,annualOtherCurrentAssets,trailingNetOtherInvestingChanges,quarterlyRetainedEarnings,trailingTotalRevenue,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualCashAndCashEquivalents,trailingEndCashPosition,trailingTaxProvision,quarterlyTotalRevenue,quarterlyOperatingIncome,trailingPretaxIncome,quarterlyBasicAverageShares,annualPretaxIncome,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualInvestmentsAndAdvances,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCostOfRevenue,trailingOperatingExpense,quarterlyGrossPPE,quarterlyDilutedAverageShares,annualDeferredIncomeTax,annualInvestingCashFlow,quarterlyIncomeTaxPayable,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualCapitalExpenditure,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualBasicEPS,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,trailingPurchaseOfBusiness,annualChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,trailingCapitalExpenditure,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyEbitda,annualNetOtherFinancingCharges,trailingChangeInInventory,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualInventory,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,annualRepaymentOfDebt,trailingChangesInAccountReceivables,annualInterestExpense,annualTotalRevenue,annualCapitalStock,trailingChangeInWorkingCapital,annualOtherIncomeExpense,annualNetPPE,quarterlyOperatingExpense,annualTotalNonCurrentAssets,trailingGrossProfit,quarterlyPretaxIncome,annualGrossProfit,annualOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyNetPPE,trailingRepaymentOfDebt,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCurrentDebt,annualDilutedEPS,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualChangeInInventory,annualDilutedAverageShares,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBeginningCashPosition,annualPurchaseOfBusiness,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualLongTermDebt,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualBasicAverageShares,annualOtherNonCashItems,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyAccountsReceivable,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,annualRetainedEarnings,quarterlyEndCashPosition,trailingNetIncomeCommonStockholders,annualTotalAssets,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,annualTaxProvision,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyInventory,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualSaleOfInvestment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingSaleOfInvestment,quarterlySaleOfInvestment,trailingBasicEPS,annualOtherShortTermInvestments,annualPurchaseOfInvestment,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
1970-01-01 00:00:01.561852800,347400000.0,210200000.0,74200000.0,600000.0,,147000000.0,-43100000.0,,111300000.0,757500000.0,36100000.0,1212100000.0,52700000,1286300000.0,,13800000,1212100000.0,4040600000.0,-29200000.0,4800000.0,13500000,0.0,34000000.0,,5868200000.0,0.0,3201000000.0,170200000.0,4800000.0,367400000.0,52100000.0,239900000,59800000,249400000.0,,141500000.0,7300000.0,,60800000.0,,18100000,3348000000.0,50000000,92000000.0,1286300000.0,92000000.0,553700000.0,1070100000.0,534100000.0,,-11100000.0,-24300000.0,,,904800000.0,232800000.0,-24300000.0,-55100000.0,16800000.0,2.674419,,404900000.0,-88200000.0,56200000,-400000.0,,-6000000.0,200000,26500000,348600000.0,-16500000,,-285600000.0,36100000.0,600000.0,2200000.0,171300000.0,300000,36100000.0,2200000.0,-277800000.0,55000000,-112400000.0,-94300000.0,-900000.0,1900000.0,1794100000.0,70400000.0,329600000.0,-112400000.0,,-19800000.0,51500000.0,996700000.0,,-111600000.0,-17200000.0,445900000.0,56700000,3201000000.0,1827600000.0,28300000,443000000.0,135600000.0,,899900000.0,4800000.0,899900000.0,4600000,,248400000.0,,4800000.0,4800000.0,10200000,445900000.0,-930700000.0,,17300000.0,534100000.0,,2.674419,12900000,-631000000.0,385700000.0,14400000.0,34400000.0,1700000.0,-50000000,-50000000,-6200000,300000.0,-88200000.0,90700000.0,-178500000.0,5700000.0,,18100000,18100000,300000.0,218800000.0,716500000.0,,90700000.0,2061700000.0,0.0,34400000.0,101400000.0,147000000.0,,1794100000.0,66000000.0,74200000.0,20700000.0,20700000.0,92000000.0,123400000,,4800000,165200000.0,3348000000.0,-6200000,2061700000.0,0,55400000.0,49500000.0,400000,716500000.0,404900000.0,-10800000.0,-84700000.0,-31900000.0,116500000,7300000.0,70400000.0,66000000.0,-18600000,60800000.0,633000000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,54900000,,0.72,14600000,,,,,27800000,,,,,,,,,,,223700000,50800000,,34400000.0,,,,,,24600000,,34400000,,,,,,,34400000.0,,,,,,,,,,,,,,37700000,,,,-800000,-4600000,,-600000,,,,,,,500000,,,,63700000,,,,,,,,,,,,,,,,,59000000,,,36200000,,,,,,,4800000,,,,,,11600000,,,38000000.0,,,,,12900000,,,,,,-35400000,-35400000,-3300000,,,,,,,24600000,24600000,,,,0.72,,,,,,,,,,,,,,113900000,,4000000,,,-3300000,,0,,,-10600000,,,,,,109800000,,,,-1700000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,63300000,,0.85,14500000,,,,,26200000,,,,,,,,,,,259000000,58500000,,34300000.0,,,,,,29100000,,18900000,,,,,,,34400000.0,,,,,,,,,,,,,,22600000,,,,4400000,-5200000,,-13400000,,,,,,,500000,,,,70300000,,,,,,,,,,,,,,,,,66600000,,,42900000,,,,,,,4000000,,,,,,13800000,,,10900000.0,,,,,12900000,,,,,,-14700000,-14700000,-3700000,,,,,,,29100000,29100000,,,,0.85,,,,,,,,,,,,,,133900000,,8400000,,,-3700000,,0,,,-5000000,,,,,,125100000,,,,-2700000,,,,,,,,,,,,,,,,,,,,
,,,77400000.0,,,149400000.0,,,,,,,62100000,,0.05,14700000,1183600000.0,,,,9200000,,,,,,3138600000.0,,,,,247700000,48700000,,34300000.0,,,,,,1600000,3288000000.0,55000000,,1261000000.0,,,,547100000.0,34400000.0,,,,,,,,,,,,,,57800000,,,,-1400000,-14800000,,17500000,,,23000000.0,16200000.0,1800000.0,,0,,,,29900000,,,,,,,,,,,,,,,,,65200000,,,2400000,,,,858400000.0,,,8400000,,,,7000000.0,7000000.0,800000,424000000.0,,,,,,,12800000,,,,,,-56500000,-56500000,-2800000,0.0,-123100000.0,,,,,1600000,1600000,,,,0.05,80200000.0,,0.0,,,,,1794500000.0,7300000.0,,,31000000.0,,133800000,,7000000,,,-2800000,2027000000.0,0,,,-2700000,716500000.0,386900000.0,,,,113900000,12400000.0,89200000.0,,-33500000,61700000.0,,,,,,,,,,,,,,,,,,,
,,197900000.0,134300000.0,-3600000.0,,135300000.0,-7600000.0,,128900000.0,,28800000.0,1154200000.0,59200000,1288500000.0,,14900000,1154200000.0,,8600000.0,1700000.0,-420700000,0.0,,,,0.0,2650900000.0,,1700000.0,,,237800000,39900000,,,-367600000.0,7700000.0,,60200000.0,68000000.0,-416600000,2786200000.0,20600000,-361300000.0,1288500000.0,-361300000.0,516600000.0,,545100000.0,,-69000000.0,-14900000.0,,,,253700000.0,-14900000.0,,,-10.502907,,332800000.0,-133000000.0,25700000,,,,-5300000,-44400000,,5100000,,,28800000.0,-3600000.0,1900000.0,,700000,,1900000.0,,-421300000,-192300000.0,,-3100000.0,1700000.0,1429200000.0,66600000.0,,-132100000.0,,,51500000.0,968200000.0,,,-514000000.0,412100000.0,62900000,2650900000.0,,-449100000,451600000.0,143800000.0,,748600000.0,1700000.0,748600000.0,7000000,,-257400000.0,,1700000.0,1700000.0,-32500000,412100000.0,,,,545100000.0,68000000.0,-10.502907,12900000,,,3700000.0,34400000.0,,-85700000,-25500000,-5100000,800000.0,-133000000.0,104900000.0,,4800000.0,,-416600000,-416600000,800000.0,239500000.0,716500000.0,,104900000.0,1497700000.0,0.0,34400000.0,-357500000.0,135300000.0,,1429200000.0,10100000.0,134300000.0,19700000.0,19700000.0,-361300000.0,135000000,,1700000,,2786200000.0,-5100000,1497700000.0,0,58700000.0,-6300000.0,22000000,716500000.0,332800000.0,-10300000.0,,,102800000,7700000.0,66600000.0,10100000.0,-476100000,60200000.0,,,,,,,,,,,,,,,,,,,
,,,148700000.0,,,151000000.0,,,,,,,63500000,,0.37,14900000,1152600000.0,,,,12400000,,,,,,2647700000.0,,,,,219300000,31300000,,34400000.0,,,,,,12800000,2798700000.0,17100000,,1301300000.0,,,,556200000.0,34400000.0,,,,,,,,,,,,,,26200000,,,,11200000,-3900000,,2000000,,,30700000.0,-3700000.0,0.0,,800000,,,,46800000,,,,,,,,,,,,,,,,,66700000,,,18900000,,,,745500000.0,,,1700000,,,,12900000.0,12900000.0,6100000,411000000.0,,-42500000.0,,,68000000.0,,13000000,,,,,,-13800000,-6000000,-9100000,1400000.0,-145200000.0,,,,,12800000,12800000,,,,0.37,1000000.0,,0.0,,,,,1429400000.0,52900000.0,,,34800000.0,,121300000,,12900000,,,-9100000,1497400000.0,0,,,-12500000,716500000.0,328900000.0,,,,98000000,8200000.0,79300000.0,,600000,60400000.0,,,,,,,,,,,,,,,,,,,
,,,105300000.0,,,210600000.0,,,,,,,74200000,,0.31,16000000,1378800000.0,,,,9700000,,,10000000.0,,,2542100000.0,,,,,250500000,33200000,,34400000.0,,,,,,10500000,2752700000.0,34200000,,1484100000.0,,,,587200000.0,34600000.0,,,3100000.0,,,,,,,,,,,40900000,,,,51200000,1700000,,13100000,,,43200000.0,-12000000.0,4000000.0,,400000,,,,36300000,,,,,,,,,,,,,,,,,77800000,,,19100000,,,,742300000.0,,,12900000,300000.0,,,64100000.0,64100000.0,8600000,417400000.0,,-8700000.0,,,10900000.0,,15100000,,,,,,-25500000,16700000,-6700000,15900000.0,-169800000.0,,,,,10500000,10500000,,,,0.3,1800000.0,,0.0,,,,,1366500000.0,61600000.0,,,28200000.0,,139500000,,64100000,,,-6700000,1268600000.0,0,,,8300000,939100000.0,333300000.0,,,,111000000,8600000.0,71100000.0,,1000000,0.0,,,,,,,,,,,,,,,,,,,
,,,111100000.0,,,233600000.0,,,,,,,65100000,,0.46,16000000,1368400000.0,,,,18400000,,,25800000.0,,,2529900000.0,,,,,241900000,41500000,,34300000.0,,,,,,15800000,2763500000.0,21700000,,1479500000.0,,,,591400000.0,34500000.0,,,5900000.0,,,,,,,,,,,28200000,,,,19400000,-6400000,,-800000,,,34700000.0,-13400000.0,4000000.0,,1000000,,,,44600000,,,,,,,,,,,,,,,,,68300000,,,25400000,,,,739200000.0,,,64100000,300000.0,,-2200000.0,83500000.0,83500000.0,9600000,409400000.0,,3400000.0,,,13100000.0,,16100000,,,,,,0,-2200000,-6500000,14900000.0,-182000000.0,,,,,15800000,15800000,,,,0.46,3700000.0,,0.0,,,,,1366400000.0,58200000.0,,,34900000.0,,132100000,,83500000,,,-6500000,1284000000.0,0,,,-6900000,934700000.0,328500000.0,,,,109800000,6700000.0,77700000.0,,0,0.0,,,,,,,,,,,,,,,,,,,
,,139100000.0,126400000.0,-24600000.0,,209700000.0,49900000.0,,135100000.0,,41300000.0,1374400000.0,71700000,1500800000.0,0.32,16300000,1374400000.0,,24900000.0,58200000.0,-36400000,0.0,,36600000.0,,0.0,2522600000.0,,58200000.0,,,247200000,33100000,,34200000.0,80400000.0,10200000.0,,0.0,15300000.0,10800000,2732300000.0,40100000,49900000.0,1500800000.0,49900000.0,530000000.0,,599500000.0,34400000.0,-2600000.0,-30900000.0,,,,289800000.0,-30900000.0,,,1.45,,314900000.0,-194400000.0,48700000,,-4600000.0,,-25300000,6000000,,10600000,,,41300000.0,-24600000.0,25800000.0,,2300000,,25800000.0,,36300000,-957100000.0,,56500000.0,4500000.0,1366600000.0,78600000.0,,-57100000.0,-4400000.0,,60300000.0,958900000.0,300000.0,,1600000.0,405100000.0,77000000,2522600000.0,,17000000,428900000.0,135100000.0,,736000000.0,58200000.0,736000000.0,83500000,300000.0,153300000.0,897800000.0,58200000.0,58200000.0,6200000,405100000.0,,43200000.0,,599500000.0,15300000.0,1.45,16100000,,,-11700000.0,34500000.0,,-917800000,-65600000,-8600000,14900000.0,-194400000.0,4100000.0,,1700000.0,,10800000,10800000,14900000.0,274500000.0,930300000.0,0.31,4100000.0,1231500000.0,0.0,34300000.0,4100000.0,209700000.0,-53400000.0,1366600000.0,55300000.0,126400000.0,7400000.0,7400000.0,49900000.0,137100000,36600000.0,58200000,,2732300000.0,-8600000,1231500000.0,0,63200000.0,30500000.0,-600000,930300000.0,314900000.0,,,,110100000,10200000.0,78600000.0,55300000.0,0,0.0,,,,,,,,,,,,,,,,,,,
,,,139400000.0,,,489800000.0,,,,,,,72100000,,0.23,16200000,1634200000.0,,,,15200000,,,44200000.0,,,2525000000.0,,,,,236900000,30300000,,32600000.0,,,,,,7600000,3014800000.0,18600000,,1773600000.0,,,,602700000.0,32700000.0,,,1200000.0,,,,,,,,,,,23600000,,,,252700000,-3800000,,-14100000,,,37100000.0,-25100000.0,27400000.0,,2500000,,,,46500000,,,,,,,,,,,,,,,,,75400000,,,11100000,,,-9200000.0,736600000.0,,,58200000,300000.0,,-2200000.0,310900000.0,310900000.0,3500000,396300000.0,,-10700000.0,,,17500000.0,,19200000,,,,,,-4400000,243400000,-5000000,22000000.0,-206400000.0,,,,,7600000,7600000,,,,0.23,4200000.0,,0.0,,,,,1370100000.0,65600000.0,,,28600000.0,,131200000,,310900000,,,-14200000,1241200000.0,0,,,-19000000,1190700000.0,314000000.0,9900000.0,,,105700000,9600000.0,100100000.0,,0,,,,,,,,,,,,,,,,,,,,
